1	0.06	21.31	-24.66
2	0.1	21.36	-24.62
3	0.14	21.37	-24.59
4	0.18	21.38	-24.56
5	0.22	21.38	-24.55
6	0.26	21.38	-24.54
7	0.3	21.39	-24.52
8	0.34	21.39	-24.5
9	0.38	21.39	-24.49
10	0.42	21.38	-24.49
11	0.5	21.34	-24.52
12	0.54	21.31	-24.58
13	0.58	21.27	-24.63
14	0.62	21.21	-24.71
15	0.66	21.19	-24.76
16	0.7	21.18	-24.82
17	0.74	21.18	-24.88
18	0.78	21.19	-24.96
19	0.82	21.2	-25.04
20	0.86	21.22	-25.13
21	0.9	21.24	-25.24
22	0.94	21.25	-25.35
23	0.98	21.27	-25.44
24	1.02	21.29	-25.52
25	1.06	21.32	-25.56
26	1.1	21.36	-25.59
27	1.14	21.4	-25.6
28	1.18	21.43	-25.6
29	1.22	21.43	-25.6
30	1.26	21.44	-25.59
31	1.3	21.43	-25.58
32	1.34	21.43	-25.58
33	1.38	21.44	-25.57
34	1.42	21.42	-25.56
35	1.46	21.4	-25.55
36	1.5	21.39	-25.51
37	1.54	21.4	-25.49
38	1.58	21.41	-25.47
39	1.62	21.47	-25.88
40	1.66	21.51	-26.31
41	1.7	21.54	-26.76
42	1.74	21.57	-27.19
43	1.78	21.57	-27.22
44	1.82	21.6	-26.79
45	1.86	21.61	-26.33
46	1.9	21.61	-25.89
47	1.94	21.61	-25.44
48	1.98	21.61	-25.44
49	2.02	21.66	-25.48
50	2.06	21.74	-25.52
51	2.1	21.82	-25.55
52	2.14	21.9	-25.55
53	2.18	21.93	-25.52
54	2.22	21.96	-25.5
55	2.26	21.96	-25.49
56	2.3	21.95	-25.49
57	2.34	21.96	-25.49
58	2.38	21.94	-25.49
59	2.42	21.95	-25.47
60	2.46	21.94	-25.43
61	2.5	21.9	-25.39
62	2.54	21.88	-25.32
63	2.58	21.82	-25.24
64	2.62	21.78	-25.18
65	2.66	21.75	-25.13
66	2.7	21.71	-25.09
67	2.74	21.69	-25.07
68	2.78	21.66	-25.06
69	2.82	21.63	-25.05
70	2.86	21.64	-25.05
71	2.9	21.63	-25.04
72	2.94	21.65	-25.03
73	2.98	21.68	-25
74	3.02	21.68	-24.96
75	3.06	21.72	-24.94
76	3.1	21.75	-24.93
77	3.14	21.79	-24.93
78	3.18	21.84	-25.25
79	3.22	21.86	-25.27
80	3.26	21.88	-25.41
81	3.3	21.92	-25.87
82	3.34	21.99	-25.54
83	3.38	22.06	-25.57
84	3.42	22.17	-25.41
85	3.46	22.24	-25.19
86	3.5	22.23	-25.17
87	3.54	22.21	-25.09
88	3.58	22.15	-25.08
89	3.62	22.09	-24.78
90	3.66	22.07	-24.71
91	3.7	22.04	-24.65
92	3.74	22	-24.56
93	3.78	21.95	-24.52
94	3.82	21.88	-24.52
95	3.86	21.84	-24.53
96	3.9	21.8	-24.57
97	3.94	21.78	-24.61
98	3.98	21.73	-24.68
99	4.02	21.64	-24.75
100	4.06	21.5	-24.81
101	4.1	21.31	-24.85
102	4.14	21.08	-24.87
103	4.18	20.87	-24.86
104	4.22	20.68	-24.86
105	4.26	20.5	-24.89
106	4.3	20.33	-24.95
107	4.34	20.18	-25.04
108	4.38	20.06	-25.15
109	4.42	19.97	-25.27
110	4.46	19.94	-25.38
111	4.5	19.89	-25.48
112	4.54	19.83	-25.57
113	4.58	19.73	-25.64
114	4.62	19.59	-25.72
115	4.66	19.38	-25.77
116	4.7	19.11	-25.81
117	4.74	18.79	-25.82
118	4.78	18.42	-25.82
119	4.82	18.09	-25.82
120	4.86	17.79	-25.84
121	4.9	17.55	-25.88
122	4.94	17.35	-25.93
123	4.98	17.15	-25.99
124	5.02	17	-26.02
125	5.06	16.82	-26.04
126	5.1	16.62	-26.08
127	5.14	16.41	-26.12
128	5.18	16.16	-26.19
129	5.22	15.91	-26.25
130	5.26	15.66	-26.31
131	5.3	15.41	-26.35
132	5.34	15.12	-26.37
133	5.38	14.87	-26.39
134	5.42	14.62	-26.38
135	5.46	14.35	-26.34
136	5.5	14.08	-26.28
137	5.54	13.81	-26.22
138	5.58	13.57	-26.15
139	5.62	13.4	-26.11
140	5.66	13.29	-26.07
141	5.7	13.19	-26.05
142	5.74	13.13	-26.05
143	5.78	13.07	-26.05
144	5.82	13.02	-26.03
145	5.86	12.99	-26.01
146	5.9	12.88	-26
147	5.94	12.78	-25.99
148	5.98	12.62	-26.03
149	6.02	12.39	-26.08
150	6.06	12.23	-26.15
151	6.1	12.05	-26.2
152	6.14	11.87	-26.25
153	6.18	11.7	-26.27
154	6.22	11.55	-26.31
155	6.26	11.36	-26.36
156	6.3	11.17	-26.38
157	6.34	11.02	-26.39
158	6.38	10.76	-26.37
159	6.42	10.54	-26.34
160	6.46	10.32	-26.3
161	6.5	10.1	-26.28
162	6.54	9.91	-26.27
163	6.58	9.73	-26.26
164	6.62	9.57	-26.25
165	6.66	9.43	-26.22
166	6.7	9.3	-26.19
167	6.74	9.05	-26.2
168	6.78	8.78	-26.23
169	6.82	8.39	-26.3
170	6.86	8.02	-26.38
171	6.9	7.74	-26.45
172	6.94	7.46	-26.51
173	6.98	7.23	-26.58
174	7.02	7.01	-26.61
175	7.06	6.73	-26.63
176	7.1	6.43	-26.61
177	7.14	6.05	-26.54
178	7.18	5.65	-26.46
179	7.22	5.32	-26.39
180	7.26	5.03	-26.33
181	7.3	4.86	-26.28
182	7.34	4.73	-26.24
183	7.38	4.61	-26.2
184	7.42	4.51	-26.17
185	7.46	4.41	-26.17
186	7.5	4.26	-26.16
187	7.54	4.08	-26.14
188	7.58	3.89	-26.1
189	7.62	3.7	-26.07
190	7.66	3.51	-26.07
191	7.7	3.3	-26.11
192	7.74	3.11	-26.17
193	7.78	2.95	-26.24
194	7.82	2.85	-26.3
195	7.86	2.79	-26.36
196	7.9	2.74	-26.4
197	7.94	2.69	-26.43
198	7.98	2.61	-26.45
199	8.02	2.52	-26.44
200	8.06	2.42	-26.41
201	8.1	2.29	-26.36
202	8.14	2.16	-26.3
203	8.18	2.04	-26.23
204	8.22	1.88	-26.17
205	8.26	1.77	-26.12
206	8.3	1.66	-26.1
207	8.34	1.56	-26.08
208	8.38	1.51	-26.09
209	8.42	1.45	-26.1
210	8.46	1.4	-26.1
211	8.5	1.37	-26.1
212	8.54	1.35	-26.09
213	8.58	1.35	-26.08
214	8.62	1.35	-26.07
215	8.66	1.33	-26.05
216	8.7	1.3	-26.04
217	8.74	1.26	-26.03
218	8.78	1.23	-26.02
219	8.82	1.2	-26
220	8.86	1.17	-25.97
221	8.9	1.13	-25.96
222	8.94	1.08	-25.95
223	8.98	1.03	-25.93
224	9.02	0.98	-25.92
225	9.06	0.93	-25.92
226	9.1	0.88	-25.94
227	9.14	0.83	-25.99
228	9.18	0.78	-26.03
229	9.22	0.76	-26.06
230	9.26	0.76	-26.07
231	9.3	0.74	-26.09
232	9.34	0.65	-26.11
233	9.38	0.5	-26.1
234	9.42	0.35	-26.05
235	9.46	0.19	-25.98
236	9.5	0.08	-25.93
237	9.54	-0.06	-25.89
238	9.58	-0.2	-25.84
239	9.62	-0.41	-25.81
240	9.66	-0.63	-25.78
241	9.7	-0.81	-25.74
242	9.74	-1.06	-25.77
243	9.78	-1.23	-25.78
244	9.82	-1.4	-25.79
245	9.86	-1.56	-25.79
246	9.9	-1.65	-25.79
247	9.94	-1.71	-25.77
248	9.98	-1.75	-25.76
249	10.02	-1.78	-25.77
250	10.06	-1.82	-25.77
251	10.1	-1.81	-25.79
252	10.14	-1.77	-25.8
253	10.18	-1.7	-25.8
254	10.22	-1.62	-25.8
255	10.26	-1.55	-25.79
256	10.3	-1.49	-25.78
257	10.34	-1.42	-25.75
258	10.38	-1.32	-25.69
259	10.42	-1.18	-25.62
260	10.46	-1.04	-25.54
261	10.5	-0.93	-25.49
262	10.54	-0.84	-25.45
263	10.58	-0.76	-25.41
264	10.62	-0.68	-25.36
265	10.66	-0.59	-25.29
266	10.7	-0.52	-25.22
267	10.74	-0.47	-25.19
268	10.78	-0.45	-25.19
269	10.82	-0.43	-25.21
270	10.86	-0.4	-25.23
271	10.9	-0.37	-25.25
272	10.94	-0.32	-25.23
273	10.98	-0.28	-25.19
274	11.02	-0.26	-25.15
275	11.06	-0.25	-25.11
276	11.1	-0.24	-25.04
277	11.14	-0.21	-24.97
278	11.18	-0.16	-24.89
279	11.22	-0.11	-24.8
280	11.26	-0.07	-24.77
281	11.3	-0.01	-24.75
282	11.34	0.06	-24.73
283	11.38	0.16	-24.71
284	11.42	0.29	-24.69
285	11.46	0.44	-24.67
286	11.5	0.58	-24.66
287	11.54	0.72	-24.65
288	11.58	0.86	-24.66
289	11.62	1.02	-24.7
